linea,estacion,direccion,comuna,este,norte,longitud,latitud
L2,CEMENTERIOS,Av. Recoleta 1502,RECOLETA,347172.4399,6301622.1512,-70.6436196881,-33.4138734859
L2,EINSTEIN,Av. Einstein 601,RECOLETA,347200.5319,6302442.9197,-70.6431782925,-33.4064773885
L2,DORSAL,Av. Recoleta 3202,RECOLETA,347224.441,6303516.2537,-70.6427391035,-33.3968035324
L2,ZAPADORES,Av. Recoleta 3754,RECOLETA,347238.0,6304160.0,-70.642441,-33.390938
L2,VESPUCIO NORTE,Ignacio Carrera Pinto altura 661,RECOLETA,346929.0,6305281.0,-70.646175808,-33.381131836
L3,PLAZA QUILICURA,Av. Bernardo O Higgins 24   ,QUILICURA,339110.0,6306946.0,-70729912.0,-33364983.0
L3,LO CRUZAT,Av. Manuel Antonio Matta 1034,QUILICURA,340050.0,6306767.0,-70719841.0,-33366730.0
L3,FERROCARRIL,Av. Manuel Antonio Matta 1950,QUILICURA,341342.0,6306927.0,-70705925.0,-33365486.0
L3,LOS LIBERTADORES,Av. Américo Vespucio 2500,QUILICURA,343004.0,6306739.0,-706875399.0,-333671373.0
L3,CARDENAL CARO,Av. José María Caro 1875,CONCHALI,343208.0,6306090.0,-70685459.0,-33373018.0
L3,VIVACETA,Av. Independencia 4765,CONCHALI,343783.0,6304754.0,-70679508.0,-33385142.0
L3,CONCHALI,Av. Independencia 3279,CONCHALI,344658.0,6303426.0,-70670334.0,-33397244.0
L3,PLAZA CHACABUCO,Julio Martinez Pradanus 1500,INDEPENDENCIA,345549.0,6302460.0,-70660928.0,-33406079.0
L3,HOSPITALES,Profesor Zañartu 1190,INDEPENDENCIA,346057.0,6301173.0,-70655687.0,-33417756.0
L3,PUENTE CAL Y CANTO L3,General Mackenna 1010,SANTIAGO,346413.0,6299474.0,-70652146.0,-33433128.0
L3,PLAZA DE ARMAS L3,Bandera 530,SANTIAGO,346688.0,6299118.0,-70649818.0,-33436672.0
L3,UNIVERSIDAD DE CHILE L3,Av. Libertador Bernardo O'Higgins 1020,SANTIAGO,346653.0,6298298.0,-70650337.0,-33444057.0
L3,PARQUE ALMAGRO,Av. Santa Isabel 1110,SANTIAGO,346601.0,6297432.0,-706504687.0,-334515666.0
L3,MATTA,Santa Rosa 1088,SANTIAGO,347293.0,6296732.0,-70643150.0,-33457973.0
L3,IRARRAZAVAL L3,Matta Oriente 240,ÑUÑOA,348700.0,6297111.0,-70627946.0,-33454762.0
